========= Job started  at Wed Mar 25 11:22:39 CET 2026 ==========
My jobid: 4586853
My array id: 4
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ni', 'Cu', 'Rh', 'Ir', 'Pd', 'Pt', 'Au', 'Ag']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:   22 11:23:29     -415.419159        0.232566
BFGS:   23 11:23:29     -415.436890        0.219338
BFGS:   24 11:23:29     -415.449249        0.177476
BFGS:   25 11:23:29     -415.459442        0.104674
BFGS:   26 11:23:29     -415.467896        0.111600
BFGS:   27 11:23:29     -415.476135        0.136462
BFGS:   28 11:23:29     -415.485199        0.129262
BFGS:   29 11:23:29     -415.492981        0.069453
BFGS:   30 11:23:29     -415.498413        0.047691
      Step     Time          Energy          fmax
BFGS:    0 11:23:29     -359.529602        2.743903
BFGS:    1 11:23:29     -360.506287        2.637027
BFGS:    2 11:23:29     -364.626892        1.570257
BFGS:    3 11:23:29     -366.550568        2.137106
BFGS:    4 11:23:30     -367.059448        1.921508
BFGS:    5 11:23:30     -368.956390        1.572529
BFGS:    6 11:23:30     -369.456146        1.352721
BFGS:    7 11:23:30     -370.058838        1.391567
BFGS:    8 11:23:30     -370.790375        1.535833
BFGS:    9 11:23:30     -371.661102        1.203112
BFGS:   10 11:23:30     -372.243683        1.048987
BFGS:   11 11:23:30     -372.653717        1.356979
BFGS:   12 11:23:30     -373.406952        1.674685
BFGS:   13 11:23:30     -374.094818        1.169149
BFGS:   14 11:23:30     -374.516357        0.861247
BFGS:   15 11:23:30     -374.780579        0.630660
BFGS:   16 11:23:30     -375.011963        0.722899
BFGS:   17 11:23:30     -375.204376        0.599589
BFGS:   18 11:23:30     -375.335083        0.538130
BFGS:   19 11:23:30     -375.414368        0.410511
BFGS:   20 11:23:30     -375.487396        0.519168
BFGS:   21 11:23:30     -375.567749        0.380479
BFGS:   22 11:23:31     -375.629669        0.428722
BFGS:   23 11:23:31     -375.677551        0.328573
BFGS:   24 11:23:31     -375.714172        0.333795
BFGS:   25 11:23:31     -375.746124        0.278707
BFGS:   26 11:23:31     -375.770599        0.277871
BFGS:   27 11:23:31     -375.789032        0.240200
BFGS:   28 11:23:31     -375.810120        0.290698
BFGS:   29 11:23:31     -375.835724        0.261933
BFGS:   30 11:23:31     -375.857391        0.165409
BFGS:   31 11:23:31     -375.873962        0.160837
BFGS:   32 11:23:31     -375.891174        0.204415
BFGS:   33 11:23:31     -375.909180        0.234471
BFGS:   34 11:23:31     -375.924133        0.153502
BFGS:   35 11:23:31     -375.933960        0.091739
BFGS:   36 11:23:31     -375.940521        0.100652
BFGS:   37 11:23:31     -375.947510        0.134222
BFGS:   38 11:23:31     -375.955017        0.102647
BFGS:   39 11:23:32     -375.961090        0.074783
BFGS:   40 11:23:32     -375.965881        0.076535
BFGS:   41 11:23:32     -375.971069        0.092888
BFGS:   42 11:23:32     -375.977234        0.099630
BFGS:   43 11:23:32     -375.983124        0.059289
BFGS:   44 11:23:32     -375.988007        0.055477
BFGS:   45 11:23:32     -375.993042        0.060431
BFGS:   46 11:23:32     -375.999664        0.093676
BFGS:   47 11:23:32     -376.007629        0.087625
BFGS:   48 11:23:32     -376.015076        0.051652
BFGS:   49 11:23:32     -376.022827        0.062744
BFGS:   50 11:23:32     -376.033905        0.091885
BFGS:   51 11:23:32     -376.050781        0.126909
BFGS:   52 11:23:32     -376.070190        0.116616
BFGS:   53 11:23:32     -376.086365        0.079874
BFGS:   54 11:23:32     -376.098938        0.089067
BFGS:   55 11:23:32     -376.113190        0.124260
BFGS:   56 11:23:32     -376.131256        0.163895
BFGS:   57 11:23:33     -376.145447        0.129281
BFGS:   58 11:23:33     -376.156281        0.085525
BFGS:   59 11:23:33     -376.162231        0.080030
BFGS:   60 11:23:33     -376.173859        0.104020
BFGS:   61 11:23:33     -376.174805        0.089315
BFGS:   62 11:23:33     -376.187653        0.078483
BFGS:   63 11:23:33     -376.192017        0.066740
BFGS:   64 11:23:33     -376.197479        0.072926
BFGS:   65 11:23:33     -376.203735        0.071952
BFGS:   66 11:23:33     -376.209656        0.040532
      Step     Time          Energy          fmax
BFGS:    0 11:23:33     -333.974274        1.760719
BFGS:    1 11:23:33     -334.766418        1.600655
BFGS:    2 11:23:33     -338.697235        0.932392
BFGS:    3 11:23:33     -338.969727        1.194928
BFGS:    4 11:23:33     -339.314697        1.131749
BFGS:    5 11:23:33     -340.335571        1.062006
BFGS:    6 11:23:33     -340.534790        0.813162
BFGS:    7 11:23:33     -340.821777        0.560307
BFGS:    8 11:23:34     -341.120941        0.605622
BFGS:    9 11:23:34     -341.487823        0.825485
BFGS:   10 11:23:34     -341.749939        0.909447
BFGS:   11 11:23:34     -341.969696        0.772163
BFGS:   12 11:23:34     -342.169495        0.650025
BFGS:   13 11:23:34     -342.400391        0.622356
BFGS:   14 11:23:34     -342.588287        0.612357
