========= Job started  at Wed Mar 25 11:37:38 CET 2026 ==========
My jobid: 4587072
My array id: 5
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ag', 'Pt', 'Pd', 'Ir', 'Au']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    1 11:43:15     -364.824341        2.660336
BFGS:    2 11:43:15     -368.671326        1.375884
BFGS:    3 11:43:15     -369.302612        1.486556
BFGS:    4 11:43:15     -369.705994        0.949157
BFGS:    5 11:43:16     -369.921448        0.777791
BFGS:    6 11:43:16     -370.637451        0.519034
BFGS:    7 11:43:16     -370.702271        0.489983
BFGS:    8 11:43:16     -370.908325        0.454472
BFGS:    9 11:43:16     -370.982849        0.535947
BFGS:   10 11:43:16     -371.140747        0.437025
BFGS:   11 11:43:16     -371.187256        0.275440
BFGS:   12 11:43:16     -371.270630        0.310384
BFGS:   13 11:43:16     -371.304932        0.299938
BFGS:   14 11:43:16     -371.344818        0.316807
BFGS:   15 11:43:16     -371.383911        0.227713
BFGS:   16 11:43:16     -371.419495        0.199394
BFGS:   17 11:43:16     -371.446564        0.208895
BFGS:   18 11:43:16     -371.472351        0.214420
BFGS:   19 11:43:16     -371.497284        0.158557
BFGS:   20 11:43:16     -371.517731        0.116583
BFGS:   21 11:43:16     -371.528992        0.096050
BFGS:   22 11:43:17     -371.535431        0.094005
BFGS:   23 11:43:17     -371.542297        0.084428
BFGS:   24 11:43:17     -371.549408        0.059814
BFGS:   25 11:43:17     -371.554504        0.064481
BFGS:   26 11:43:17     -371.557922        0.058354
BFGS:   27 11:43:17     -371.561646        0.044282
      Step     Time          Energy          fmax
BFGS:    0 11:43:17     -367.714294        2.539495
BFGS:    1 11:43:17     -368.487885        2.414964
BFGS:    2 11:43:17     -371.584015        1.307743
BFGS:    3 11:43:17     -372.324402        1.602998
BFGS:    4 11:43:17     -372.579010        1.010071
BFGS:    5 11:43:17     -372.828918        0.641440
BFGS:    6 11:43:17     -373.430450        0.841237
BFGS:    7 11:43:17     -373.626038        0.789337
BFGS:    8 11:43:17     -373.853424        0.728348
BFGS:    9 11:43:17     -374.098022        0.575154
BFGS:   10 11:43:17     -374.289215        0.477628
BFGS:   11 11:43:18     -374.439850        0.532809
BFGS:   12 11:43:18     -374.560303        0.491268
BFGS:   13 11:43:18     -374.679260        0.361763
BFGS:   14 11:43:18     -374.799683        0.303842
BFGS:   15 11:43:18     -374.877869        0.287890
BFGS:   16 11:43:18     -374.922546        0.343492
BFGS:   17 11:43:18     -374.968231        0.297362
BFGS:   18 11:43:18     -375.022186        0.193401
BFGS:   19 11:43:18     -375.063629        0.186077
BFGS:   20 11:43:18     -375.087036        0.189319
BFGS:   21 11:43:18     -375.102722        0.145257
BFGS:   22 11:43:18     -375.119598        0.111647
BFGS:   23 11:43:18     -375.134521        0.093294
BFGS:   24 11:43:18     -375.143524        0.095326
BFGS:   25 11:43:18     -375.149139        0.075379
BFGS:   26 11:43:18     -375.155090        0.056991
BFGS:   27 11:43:18     -375.160828        0.059564
BFGS:   28 11:43:19     -375.164703        0.046777
      Step     Time          Energy          fmax
BFGS:    0 11:43:19     -366.051636        2.859291
BFGS:    1 11:43:19     -367.368347        2.663930
BFGS:    2 11:43:19     -371.611206        0.955893
BFGS:    3 11:43:19     -371.884399        2.053097
BFGS:    4 11:43:19     -372.207886        1.543524
BFGS:    5 11:43:19     -373.018799        1.059528
BFGS:    6 11:43:19     -373.193970        0.830475
BFGS:    7 11:43:19     -373.461182        0.855750
BFGS:    8 11:43:19     -373.687439        0.656325
BFGS:    9 11:43:19     -373.859985        0.558222
BFGS:   10 11:43:19     -373.944580        0.458253
BFGS:   11 11:43:19     -374.049683        0.601818
BFGS:   12 11:43:19     -374.158264        0.513530
BFGS:   13 11:43:19     -374.241150        0.422259
BFGS:   14 11:43:19     -374.298218        0.319900
BFGS:   15 11:43:19     -374.352112        0.317846
BFGS:   16 11:43:20     -374.405884        0.351894
BFGS:   17 11:43:20     -374.450195        0.278813
BFGS:   18 11:43:20     -374.478210        0.197724
BFGS:   19 11:43:20     -374.499634        0.189896
BFGS:   20 11:43:20     -374.525574        0.248932
BFGS:   21 11:43:20     -374.549622        0.200391
BFGS:   22 11:43:20     -374.566711        0.173689
BFGS:   23 11:43:20     -374.581055        0.212171
BFGS:   24 11:43:20     -374.600525        0.256425
BFGS:   25 11:43:20     -374.630127        0.315312
BFGS:   26 11:43:20     -374.666077        0.367108
BFGS:   27 11:43:20     -374.701477        0.377578
BFGS:   28 11:43:20     -374.746338        0.413329
BFGS:   29 11:43:20     -374.792908        0.400681
BFGS:   30 11:43:20     -374.840271        0.296616
BFGS:   31 11:43:20     -374.877014        0.296146
BFGS:   32 11:43:20     -374.901550        0.219988
BFGS:   33 11:43:21     -374.916138        0.245521
BFGS:   34 11:43:21     -374.931641        0.188190
BFGS:   35 11:43:21     -374.940918        0.143812
BFGS:   36 11:43:21     -374.950439        0.124537
BFGS:   37 11:43:21     -374.957153        0.098289
BFGS:   38 11:43:21     -374.965881        0.092732
BFGS:   39 11:43:21     -374.972107        0.101174
BFGS:   40 11:43:21     -374.978027        0.104573
BFGS:   41 11:43:21     -374.983215        0.088020
BFGS:   42 11:43:21     -374.987732        0.075576
BFGS:   43 11:43:21     -374.990601        0.050859
BFGS:   44 11:43:21     -374.992859        0.057599
BFGS:   45 11:43:21     -374.995178        0.050542
BFGS:   46 11:43:21     -374.997803        0.046265
      Step     Time          Energy          fmax
BFGS:    0 11:43:21     -348.397461        2.350376
BFGS:    1 11:43:21     -349.296082        2.222105
BFGS:    2 11:43:22     -352.661011        0.954435
BFGS:    3 11:43:22     -352.954742        1.266136
BFGS:    4 11:43:22     -353.174561        1.054103
BFGS:    5 11:43:22     -353.990234        0.439277
BFGS:    6 11:43:22     -354.056580        0.445624
BFGS:    7 11:43:22     -354.225006        0.422663
BFGS:    8 11:43:22     -354.305969        0.319457
BFGS:    9 11:43:22     -354.371643        0.367308
BFGS:   10 11:43:22     -354.421051        0.359588
BFGS:   11 11:43:22     -354.480713        0.294064
BFGS:   12 11:43:22     -354.535980        0.225538
BFGS:   13 11:43:22     -354.573395        0.258322
BFGS:   14 11:43:22     -354.601685        0.324777
BFGS:   15 11:43:22     -354.637177        0.308626
BFGS:   16 11:43:22     -354.675598        0.220377
BFGS:   17 11:43:22     -354.703796        0.171087
BFGS:   18 11:43:22     -354.721497        0.159785
BFGS:   19 11:43:23     -354.735657        0.139366
BFGS:   20 11:43:23     -354.748688        0.116674
BFGS:   21 11:43:23     -354.757812        0.083806
